,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3847352981567383,0.028353044262270526,0.06387181282043457,0.011545092446509989,0.0036426926107813017,0.00695374692003893,136,7,46,"{'classifier__l2_regularization': np.float64(0.0036426926107813017), 'classifier__learning_rate': np.float64(0.00695374692003893), 'classifier__max_bins': np.int64(136), 'classifier__max_leaf_nodes': np.int64(7), 'classifier__min_samples_leaf': np.int64(46)}",0.8111095946499249,0.8134043134043134,0.8075348075348076,0.812039312039312,0.8134043134043134,0.8114984682065343,0.0021642011205464423,220
1,0.1652799129486084,0.029994532010417376,0.027261114120483397,0.0033291681352996,6.762646458642407e-05,4.713985651516458,2,66,7,"{'classifier__l2_regularization': np.float64(6.762646458642407e-05), 'classifier__learning_rate': np.float64(4.713985651516458), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(66), 'classifier__min_samples_leaf': np.int64(7)}",0.7307219871707383,0.6829101829101829,0.6576576576576577,0.7192192192192193,0.7332787332787333,0.7047575560473062,0.029639355854119708,448
2,0.5089221000671387,0.0333573786884217,0.07375555038452149,0.0042737530650052155,46.346609208094335,0.011491933047299873,86,18,5,"{'classifier__l2_regularization': np.float64(46.346609208094335), 'classifier__learning_rate': np.float64(0.011491933047299873), 'classifier__max_bins': np.int64(86), 'classifier__max_leaf_nodes': np.int64(18), 'classifier__min_samples_leaf': np.int64(5)}",0.8411355261362086,0.8286923286923287,0.8366093366093366,0.8326508326508326,0.8341523341523341,0.8346480716482081,0.00413857993557181,161
3,0.30632519721984863,0.0026552081219148676,0.04700770378112793,0.0034104438906794646,0.00437581128246055,0.036192746538760756,115,3,10,"{'classifier__l2_regularization': np.float64(0.00437581128246055), 'classifier__learning_rate': np.float64(0.036192746538760756), 'classifier__max_bins': np.int64(115), 'classifier__max_leaf_nodes': np.int64(3), 'classifier__min_samples_leaf': np.int64(10)}",0.8190255220417634,0.8138138138138138,0.8162708162708163,0.8132678132678133,0.8151788151788152,0.8155113561146043,0.0020470398010207424,210
4,0.2770525455474854,0.059193924236887754,0.044080257415771484,0.01367461426415546,11.866168557865333,0.5476568908231133,5,7,2,"{'classifier__l2_regularization': np.float64(11.866168557865333), 'classifier__learning_rate': np.float64(0.5476568908231133), 'classifier__max_bins': np.int64(5), 'classifier__max_leaf_nodes': np.int64(7), 'classifier__min_samples_leaf': np.int64(2)}",0.8281697829944042,0.8271908271908271,0.8345618345618345,0.8276003276003276,0.8312858312858313,0.829761720726645,0.002799263667100151,175
5,0.12887659072875976,0.02639465338836613,0.02212996482849121,0.00371236447687324,9.583281575879908e-05,2.814741212089919,68,4,10,"{'classifier__l2_regularization': np.float64(9.583281575879908e-05), 'classifier__learning_rate': np.float64(2.814741212089919), 'classifier__max_bins': np.int64(68), 'classifier__max_leaf_nodes': np.int64(4), 'classifier__min_samples_leaf': np.int64(10)}",0.21045448341749692,0.21307671307671308,0.22672672672672672,0.2052962052962053,0.2057057057057057,0.21225196684456954,0.007805971820088056,500
6,0.35678625106811523,0.010973401312566489,0.051035165786743164,0.003892295994960088,5.726802695666355,0.006686793359719527,72,5,12,"{'classifier__l2_regularization': np.float64(5.726802695666355), 'classifier__learning_rate': np.float64(0.006686793359719527), 'classifier__max_bins': np.int64(72), 'classifier__max_leaf_nodes': np.int64(5), 'classifier__min_samples_leaf': np.int64(12)}",0.7965060734270506,0.7974337974337974,0.7926562926562927,0.7937482937482937,0.7977067977067978,0.7956102509944464,0.0020354892391926975,268
7,0.1339348316192627,0.008875093918714569,0.0233457088470459,0.0025548488620876597,1.5840821073455903e-06,9.968985512010686,7,53,7,"{'classifier__l2_regularization': np.float64(1.5840821073455903e-06), 'classifier__learning_rate': np.float64(9.968985512010686), 'classifier__max_bins': np.int64(7), 'classifier__max_leaf_nodes': np.int64(53), 'classifier__min_samples_leaf': np.int64(7)}",0.7686638460488604,0.763035763035763,0.7327327327327328,0.7017472017472017,0.27941577941577944,0.6491190645960675,0.18639176717245906,470
8,0.4051967144012451,0.005806691293471633,0.06413869857788086,0.00136704361140588,0.20467123289267797,0.0025094691739706745,82,11,4,"{'classifier__l2_regularization': np.float64(0.20467123289267797), 'classifier__learning_rate': np.float64(0.0025094691739706745), 'classifier__max_bins': np.int64(82), 'classifier__max_leaf_nodes': np.int64(11), 'classifier__min_samples_leaf': np.int64(4)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,305
9,0.1356201648712158,0.006592997646419191,0.021851110458374023,0.0012918645391398554,4.008952445747279,7.638151084907816,4,165,97,"{'classifier__l2_regularization': np.float64(4.008952445747279), 'classifier__learning_rate': np.float64(7.638151084907816), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(165), 'classifier__min_samples_leaf': np.int64(97)}",0.5045721304763204,0.6248976248976249,0.7736827736827737,0.6966966966966966,0.7680862680862681,0.6735870987679368,0.1004191366496687,461
